Company_Name,Website,Industry,HQ,Country,Description (Linkedin),Company Size,Date_Victimsed,NumViews (of threat),RansomDataSize,RansomDataType,RansomwareGroup
CASA SANTIVERI,http://www.santiveri.com/,Fitness Services,Barcelona,Spain,"En Santiveri llevamos desde 1885 apostando por promover una sociedad donde las personas se sientan mejor. Estos mÃ¡s de 135 aÃ±os de experiencia nos han ayudado a ofrecer soluciones saludables e innovadoras al alcance de todos.

En estos aÃ±os han cambiado muchas cosas, pero hay una que se mantiene: queremos ayudarte a que te sientas bien. Fieles a nuestro espÃ­ritu pionero, nos hemos renovado y adaptado para acercarnos todavÃ­a mÃ¡s a ti y a tus necesidades.

Y lo hemos hecho con valentÃ­a, reinventÃ¡ndonos siempre que ha sido necesario; con compromiso, seleccionando ingredientes y materias primas de la mejor calidad; con cuidado, sensibles a la diversidad de cualquier tipo; y con una visiÃ³n holÃ­stica, promoviendo un bienestar integral y una manera mÃ¡s sana de vivir.

En la actualidad, Santiveri  tiene:
â 3 centros de producciÃ³n: Barcelona, LÃ©rida y PeÃ±afiel (Valladolid).
â 141 puntos de venta directos
â Una distribuciÃ³n que llega a unos 7.000 puntos de venta ( 5.700  directos y 1.300 puntos de venta que servimos directamente a plataforma de distribuciÃ³n a supermercados)
â Una lista de productos cercana a las 1.000 referencias 
â Dos filiales en Italia y MÃ©xico 
â Una exportaciÃ³n que alcanza a mÃ¡s de 40 paÃ­ses.
â Una plantilla cercana a los 400 empleados.",201-500 employees,"JUL 5, 2024",21894,204,['Employee and HR data'],Qilin
ETATEAM.BE,http://www.etateam.be/,Financial Services,Brussels,Belgium,European Team is an accountant in Brussels in the province of Province of Brussels in the Brussels-Capital region. The firm is established at Rue Joseph Druez 182. European Team and created on 03-02-1986. European Team is known under company number 428490273. The legal form of the company is SPRL. The firm on rue Rue Joseph Druez has 1 to 4 employees. At the bottom of this page you will find more data about this firm.,,"JUL 5, 2024",21238,15,"['Employee and HR data', 'Legal Documents']",Qilin
FELDA GLOBAL VENTURES HOLDINGS BERHAD,http://www.feldaglobal.com/,Manufacturing,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Malaysia,"FGV Holdings Berhad is based in Malaysia and is one of the countryâs leading globally-integrated, diversified agri-business that focuses on the whole supply chain of palm oil, sugar manufacturing and downstream activities in oils & fats and oleo-chemicals. We operate in more than 10 countries across Asia, the Middle East, North America, and Europe.
 
Incorporated in Malaysia as a private limited company 2007, FGV initially operated as the commercial arm of Federal Land Development Authority (FELDA). On 28 June 2012, the company was listed on the main market of Bursa Malaysia Securities Berhad as Felda Global Ventures Holdings Berhad.  
 
FGV operates on 439,725 ha of landbank  in Malaysia and Indonesia. FGV produces around 3 million MT Crude Palm Oil (CPO), processing over 13 million MT fruits including from Felda smallholders and third party estates.  
 
Our focus spans three core business sectors: Plantation Sector, Logistics & Support Business (LSB) Sector and Sugar Sector. With more than 45,000 strong workfore including field workers, FGV aspires to be one of the world's leading agri-business companies while continuously drive a sustainable business and deliver value to our shareholders.


Â© FGV Holdings Berhad (800165-P/200701042133). All rights reserved","10,001+ employees","JUL 5, 2024",21679,291,"['Financial Data', 'Customer and Client Data', 'Legal Documents', 'Intellectual Property', 'Databases']",Qilin
MADERO,http://www.madero.ca/,Manufacturing,Saskatoon,Canada,"For more than 35 years MaderÃ³ has been a leading company in the sector of bathroom furniture.
The companyâs aim has always been the design and the search for the latest trends in decoration an interior design.
Offering a wide range of collections which use a variety of materials: veneers, solid wood, lacquered MDF, glass, steelâ¦ 
MaderÃ³ use latest generation fittings and elements and selects the best suppliers from around the world. 
Maderoâs products are sold through specialized distributors who are carefully chosen. Our network of representatives, with a presence in the main geographical areas, guarantees a full quality service.",51-200 employees,"JUL 5, 2024",20996,350,['unknown'],Qilin
BIG ISSUE GROUP,http://www.bigissue.com/,Media,"London, Greater London",United Kingdom,"From an award-winning magazine offering employment opportunities to people in poverty, to a multi-million pound social investment business supporting enterprise to drive social change. For over 25 years The Big Issue Group has strived to dismantle poverty through creating opportunity, in the process becoming one of the most recognised and trusted brands in the UK.",51-200 employees,"JUL 5, 2024",20763,530,"['Financial Data', 'PII', 'Customer and Client Data', 'Legal Documents', 'Databases']",Qilin
WATERGATE,http://www.thewatergatehotel.com/,Manufacturing,"London, London",United States,"Ending the era of dumb water.
Watergate is a water tech company dedicated to combating water leaks and promoting conservation. Our innovative solution helps property owners, building managers, and insurers protect assets and mitigate the impacts of water-related damage.",11-50 employees,"JUL 5, 2024",20753,289,['Customer and Client Data'],Qilin
MCS,http://www.mitchellcountychamber.org/,Membership Organizations,North Carolina,United States,"The Mitchell County Chamber of Commerce is the areaÕs largest business organization and has served the Mitchell County area for more than 50 years. A lot has changed over the last fifty years and while we still value the honest and hardworking community we live in, we understand that businesses and organizations just donÕt operate in the same world as they used to. In response we are developing new ways of defining the business community, connecting our member businesses through new networks and encouraging a spirit of renewal in our entrepreneurial community. While we are moving forward with innovative ways of helping our members grow and succeed, we still base our core business models and relationships with our members on old-fashioned mountain values.",,"JUL 5, 2024",20174,53,['Customer and Client Data'],Qilin
DR CHARLES A EVANS,http://www.charlesevansmd.com/,Healthcare,"Lufkin, Texas",United States,"For people who have not found answers in other places, we help navigate and find solutions for difficult and chronic health issues. Our approach utilizes cutting-edge diagnostics, long visit times, and deep and inquisitive listening, all culminating in 100% individualized patient-specific treatment plans. Additionally, this system helps empower patients to learn how to experience a lifestyle which moves them away from chronic and debilitating disease towards adaptability and vitality.",,"JUL 5, 2024",19722,3,"['Customer and Client Data', 'Healthcare Data']",Qilin
JEAN-NOUVEL,http://www.jeannouvel.com/,Retail,Paris,France,"Ateliers Jean Nouvel (AJN) is a world-renowned design firm that gathers a multicultural team of 140 persons from more than twenty countries. 
AJN benefits from Jean Nouvelâs experience as the head of several practices dating back to 1970. AJN combines the disciplines of architecture, urban planning, interior design, landscape design, graphic design, and product design into a single integrated practice. 
AJNâs diverse, world spanning portfolio includes museums, concert halls, conference centers, theaters, hotels, residential buildings, office buildings, commercial centers, and private residences. ",,"JUL 5, 2024",12628,314,['unknown'],Qilin
THE WEINSTEIN FIRM,http://www.weinsteinwin.com/,Legal Services,Georgia,United States,"At The Weinstein Firm LLC, we operate on what is called a contingency fee basis. ",2-10 employees,"JUL 5, 2024",12450,89,"['Financial Data', 'Customer and Client Data']",Qilin
